Category,Skills,Date,Budget
iOS,Object C,5/20/2017,8000
Web,"html5, jquery, css3",5/21/2017,1500
iOS,Objective-C,5/25/2017,3600
Other,"python, django",5/28/2017,3200
Windows,C#/ASP .NET,6/1/2017,29000
Web,"python,django, javascript",6/2/2017,22000
Web,"jquery, html5, css",6/2/2017,1800
Web,"python,django, javascript",6/2/2017,23000
iOS,Objective-c,6/5/2017,3000
Web,"WebGL, html5, css3",6/5/2017,1000
Web,WordPress,6/5/2017,1000
web,PHP,6/7/2017,10000
Web,"Drupal, XML",6/7/2017,1500
Web,"html5, css3",6/9/2017,1000
Android,Java,6/10/2017,4000
Web,Ruby,6/11/2017,2000
Web,"cakephp, bootstrap",6/11/2017,2400
Web,"cakephp, bootstrap",6/11/2017,1500
Web,"dc.js, javascript",6/12/2017,300
Web,Cesium.js,6/12/2017,800
iOS,Swift,6/13/2017,4000
Web,"PHP, Zend",6/14/2017,1000
Android,Java,6/15/2017,
Android,Java,6/15/2017,
Web,ruby on rails,6/24/2017,1700
Web,"php, javascript, bootstrap",6/24/2017,1000
Web,ruby on rails,6/24/2017,3000
Web,"python, javascript",7/2/2017,1500
Web,"python, javascript",7/2/2017,1000
iOS,Objective-c,7/3/2017,30000
iOS,Swift,7/3/2017,6500
Android,Java,7/5/2017,
iOS,Objective-c,7/5/2017,3000
iOS,Objective-c,7/5/2017,2000
iOS,Objective-c,7/5/2017,2000
iOS,Swift 3,7/5/2017,26000
iOS,Objective-c,7/5/2017,2000
iOS,Objective-C,7/6/2017,3600
Web,"Angular4, Angular CLI",7/6/2017,2000
Web,Cesium.js,7/8/2017,2500
Web,"laravel, php, mySQL",7/10/2017,2000$
Web,Php,7/11/2017,
Android,Android,7/12/2017,500
web,Javascript,7/18/2017,
Web,"javascript, php",7/18/2017,3000
Web,Java,7/21/2017,
Other,"python, flask",7/24/2017,1200
Web,Yii,7/26/2017,4000
iOS,Objective-C,8/1/2017,2600
Web,"python, flask, sqlite",8/1/2017,30000
Web,Node.js,8/2/2017,4500
Web,Cesium.js,8/2/2017,2000
Web,Cesium.js,8/2/2017,500
iOS,Swift 3.0,8/3/2017,
Android,Java,8/3/2017,3000
Android,Java,8/3/2017,3000
Android,Java,8/6/2017,1200
Web,HTML5 Game,8/6/2017,4000
iOS,Objective-c,8/10/2017,
iOS,Objective C,8/11/2017,1500
Web,"react, node, mysql",8/12/2017,2000$
Web,hls.js,8/12/2017,4000
Web,"react, node, mysql",8/12/2017,2500$
iOS,Objective-c,8/21/2017,3000
iOS,Objective-c,8/21/2017,2000
Web,"html, javascript",8/22/2017,26000
Web,"php,html,javascript,jquery,bootstrap,css,ajax",8/25/2017,7000
Web,YII,8/29/2017,5000
Android,Java,9/3/2017,600
Windows,C#,9/3/2017,
Web,"Javascript, IONIC",9/3/2017,2000$
Android,Java,9/5/2017,2000
Android,Java,9/5/2017,
iOS,Objective-c,9/5/2017,4000
iOS,Objective-C,9/13/2017,42500$
iOS,Objective-C,10/5/2017,
Android,Java,10/5/2017,
Android,Java,10/5/2017,500
